Brand,Operating System,Processor,RAM Type,RAM Size,Disc Type,Disc Size,Price
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Lenovo,Windows 10,Intel Core i3,DDR4,8 GB,SSD,512 GB,37490
Infinix,Windows 11,Intel Celeron Quad Core,LPDDR4X,4 GB,SSD,128 GB,20990
MSI,Windows 11,Intel Core i7,DDR4,16 GB,SSD,512 GB,109990
ASUS,Windows 11,Intel Core i5,LPDDR4,16 GB,SSD,512 GB,71990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Infinix,Windows 11,Intel Core i3,LPDDR4X,8 GB,SSD,512 GB,32990
MSI,Windows 10,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,43990
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,73490
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Acer,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,256 GB,25990
ASUS,Windows 10,Intel Core i9,DDR4,16 GB,SSD,1 TB,122990
Acer,MAC ,Intel Core i5,DDR4,16 GB,SSD,512 GB,68990
Acer,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,59990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
Acer,Windows 10,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 10,Intel Core i3,DDR4,8 GB,HDD,1 TB,37990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,Windows 10,Intel Celeron Dual Core,DDR4,4 GB,SSD,256 GB,25950
Realme,MAC ,Intel Core i5,LPDDR4X,16 GB,SSD,512 GB,64999
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,60990
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,36990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
SAMSUNG,Windows 11,Intel Core i5,LPDDR4X,8 GB,SSD,256 GB,59990
APPLE,MAC ,Apple M1 Pro,Unified Memory,16 GB,SSD,512 GB,222990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
DELL,Windows 11,Intel Core i9,DDR5,16 GB,SSD,1 TB,235283
DELL,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,38990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,512 GB,67990
MSI,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,79990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,512 GB,67990
MSI,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,79990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,Windows 11,Intel Core i5,LPDDR5,16 GB,SSD,512 GB,89990
ASUS,Windows 11,Intel Core i9,DDR5,32 GB,SSD,1 TB,241990
ASUS,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,43490
Realme,Windows 10,Intel Core i3,DDR4,8 GB,SSD,256 GB,46990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
Vaio,Windows 10,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,40990
APPLE,MAC ,Apple M1,DDR4,8 GB,SSD,256 GB,94990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
MSI,Windows 10,Intel Core i7,DDR4,16 GB,SSD,1 TB,114990
APPLE,MAC ,Apple M2,Unified Memory,8 GB,SSD,256 GB,121990
ASUS,Windows 10,Intel Core i3,DDR4,8 GB,HDD,1 TB,37990
ASUS,Windows 11,Intel Pentium Silver,DDR4,8 GB,SSD,256 GB,27990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,44990
DELL,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,40190
Lenovo,MAC ,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,34990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 10,Intel Core i7,LPDDR4X,16 GB,SSD,1 TB,94990
Lenovo,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,69990
ASUS,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,59990
ASUS,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,66990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,Windows 11,Intel Core i7,LPDDR4X,16 GB,SSD,512 GB,104990
DELL,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,54900
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,136990
DELL,Windows 11,AMD Ryzen 5-3450U,DDR4,8 GB,SSD,512 GB,48184
ASUS,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,74990
Acer,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,60990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,49990
DELL,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,67990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
